year,week,rank,team,record,scraped_at
2014,Week 14,5,TCU,9-1,2025-08-09T09:50:47.321962
2014,Week 14,6,Ohio State,10-1,2025-08-09T09:50:47.322039
2014,Week 14,7,Baylor,9-1,2025-08-09T09:50:47.322116
2014,Week 14,8,UCLA,9-2,2025-08-09T09:50:47.322193
2014,Week 14,9,Georgia,9-2,2025-08-09T09:50:47.322269
2014,Week 14,10,Michigan State,9-2,2025-08-09T09:50:47.322346
2014,Week 14,11,Arizona,9-2,2025-08-09T09:50:47.322423
2014,Week 14,12,Kansas State,8-2,2025-08-09T09:50:47.322499
2014,Week 14,13,Arizona State,9-2,2025-08-09T09:50:47.322575
2014,Week 14,14,Wisconsin,9-2,2025-08-09T09:50:47.322652
2014,Week 14,15,Auburn,8-3,2025-08-09T09:50:47.322729
2014,Week 14,16,Georgia Tech,9-2,2025-08-09T09:50:47.322804
2014,Week 14,17,Missouri,9-2,2025-08-09T09:50:47.322880
2014,Week 14,18,Minnesota,8-3,2025-08-09T09:50:47.322956
2014,Week 14,19,Mississippi,8-3,2025-08-09T09:50:47.323033
2014,Week 14,20,Oklahoma,8-3,2025-08-09T09:50:47.323109
2014,Week 14,21,Clemson,8-3,2025-08-09T09:50:47.323185
2014,Week 14,22,Louisville,8-3,2025-08-09T09:50:47.323263
2014,Week 14,23,Boise State,9-2,2025-08-09T09:50:47.323341
2014,Week 14,24,Marshall,11-0,2025-08-09T09:50:47.323418
2014,Week 14,25,Utah,7-4,2025-08-09T09:50:47.323494
2014,Week 13,1,Alabama,9-1,2025-08-09T09:50:57.632879
2014,Week 13,2,Oregon,9-1,2025-08-09T09:50:57.632967
2014,Week 13,3,Florida State,10-0,2025-08-09T09:50:57.633044
2014,Week 13,4,Mississippi State,9-1,2025-08-09T09:50:57.633120
2014,Week 13,5,TCU,9-1,2025-08-09T09:50:57.633194
2014,Week 13,6,Ohio State,9-1,2025-08-09T09:50:57.633268
2014,Week 13,7,Baylor,8-1,2025-08-09T09:50:57.633342
2014,Week 13,8,Mississippi,8-2,2025-08-09T09:50:57.633414
2014,Week 13,9,UCLA,8-2,2025-08-09T09:50:57.633486
2014,Week 13,10,Georgia,8-2,2025-08-09T09:50:57.633558
2014,Week 13,11,Michigan State,8-2,2025-08-09T09:50:57.633630
2014,Week 13,12,Kansas State,7-2,2025-08-09T09:50:57.633702
2014,Week 13,13,Arizona State,8-2,2025-08-09T09:50:57.633775
2014,Week 13,14,Auburn,7-3,2025-08-09T09:50:57.633847
2014,Week 13,15,Arizona,8-2,2025-08-09T09:50:57.633919
2014,Week 13,16,Wisconsin,8-2,2025-08-09T09:50:57.633991
2014,Week 13,17,Utah,7-3,2025-08-09T09:50:57.634063
2014,Week 13,18,Georgia Tech,9-2,2025-08-09T09:50:57.634136
2014,Week 13,19,Southern California,7-3,2025-08-09T09:50:57.634208
2014,Week 13,20,Missouri,8-2,2025-08-09T09:50:57.634281
2014,Week 13,21,Oklahoma,7-3,2025-08-09T09:50:57.634353
2014,Week 13,22,Clemson,7-3,2025-08-09T09:50:57.634425
2014,Week 13,23,Nebraska,8-2,2025-08-09T09:50:57.634498
2014,Week 13,24,Louisville,7-3,2025-08-09T09:50:57.634570
2014,Week 13,25,Minnesota,7-3,2025-08-09T09:50:57.634642
2014,Week 12,1,Mississippi State,9-0,2025-08-09T09:51:07.945127
2014,Week 12,2,Oregon,9-1,2025-08-09T09:51:07.945214
2014,Week 12,3,Florida State,9-0,2025-08-09T09:51:07.945290
2014,Week 12,4,TCU,8-1,2025-08-09T09:51:07.945364
2014,Week 12,5,Alabama,8-1,2025-08-09T09:51:07.945437
2014,Week 12,6,Arizona State,8-1,2025-08-09T09:51:07.945510
2014,Week 12,7,Baylor,8-1,2025-08-09T09:51:07.945582
2014,Week 12,8,Ohio State,8-1,2025-08-09T09:51:07.945654
2014,Week 12,9,Auburn,7-2,2025-08-09T09:51:07.945726
2014,Week 12,10,Mississippi,8-2,2025-08-09T09:51:07.945799
2014,Week 12,11,UCLA,8-2,2025-08-09T09:51:07.945870
2014,Week 12,12,Michigan State,7-2,2025-08-09T09:51:07.945942
2014,Week 12,13,Kansas State,7-2,2025-08-09T09:51:07.946015
2014,Week 12,14,Arizona,7-2,2025-08-09T09:51:07.946089
2014,Week 12,15,Georgia,7-2,2025-08-09T09:51:07.946163
2014,Week 12,16,Nebraska,8-1,2025-08-09T09:51:07.946235
2014,Week 12,17,LSU,7-3,2025-08-09T09:51:07.946307
2014,Week 12,18,Notre Dame,7-2,2025-08-09T09:51:07.946379
2014,Week 12,19,Clemson,7-2,2025-08-09T09:51:07.946451
2014,Week 12,20,Wisconsin,7-2,2025-08-09T09:51:07.946524
2014,Week 12,21,Duke,8-1,2025-08-09T09:51:07.946596
2014,Week 12,22,Georgia Tech,8-2,2025-08-09T09:51:07.946668
2014,Week 12,23,Utah,6-3,2025-08-09T09:51:07.946741
2014,Week 12,24,Texas A&M,7-3,2025-08-09T09:51:07.946813
2014,Week 12,25,Minnesota,7-2,2025-08-09T09:51:07.946885
2014,Week 11,1,Mississippi State,8-0,2025-08-09T09:51:18.305272
2014,Week 11,2,Florida State,8-0,2025-08-09T09:51:18.305383
2014,Week 11,3,Auburn,7-1,2025-08-09T09:51:18.305550
2014,Week 11,4,Oregon,8-1,2025-08-09T09:51:18.305649
2014,Week 11,5,Alabama,7-1,2025-08-09T09:51:18.305745
2014,Week 11,6,TCU,7-1,2025-08-09T09:51:18.305841
2014,Week 11,7,Kansas State,7-1,2025-08-09T09:51:18.305942
2014,Week 11,8,Michigan State,7-1,2025-08-09T09:51:18.306037
2014,Week 11,9,Arizona State,7-1,2025-08-09T09:51:18.306131
2014,Week 11,10,Notre Dame,7-1,2025-08-09T09:51:18.306225
2014,Week 11,11,Mississippi,7-2,2025-08-09T09:51:18.306320
2014,Week 11,12,Baylor,7-1,2025-08-09T09:51:18.306415
2014,Week 11,13,Nebraska,8-1,2025-08-09T09:51:18.306509
2014,Week 11,14,Ohio State,7-1,2025-08-09T09:51:18.306604
2014,Week 11,15,Oklahoma,6-2,2025-08-09T09:51:18.306697
2014,Week 11,16,LSU,7-2,2025-08-09T09:51:18.306792
2014,Week 11,17,Utah,6-2,2025-08-09T09:51:18.306886
2014,Week 11,18,UCLA,7-2,2025-08-09T09:51:18.306982
2014,Week 11,19,Arizona,6-2,2025-08-09T09:51:18.307076
2014,Week 11,20,Georgia,6-2,2025-08-09T09:51:18.307169
2014,Week 11,21,Clemson,6-2,2025-08-09T09:51:18.307263
2014,Week 11,22,Duke,7-1,2025-08-09T09:51:18.307357
2014,Week 11,23,West Virginia,6-3,2025-08-09T09:51:18.307451
2014,Week 11,24,Georgia Tech,7-2,2025-08-09T09:51:18.307546
2014,Week 11,25,Wisconsin,6-2,2025-08-09T09:51:18.307641
2014,Week 10,1,Mississippi State,7-0,2025-08-09T09:51:28.607809
2014,Week 10,2,Florida State,7-0,2025-08-09T09:51:28.607895
2014,Week 10,3,Auburn,6-1,2025-08-09T09:51:28.607970
2014,Week 10,4,Mississippi,7-1,2025-08-09T09:51:28.608043
2014,Week 10,5,Oregon,7-1,2025-08-09T09:51:28.608115
2014,Week 10,6,Alabama,7-1,2025-08-09T09:51:28.608187
2014,Week 10,7,TCU,6-1,2025-08-09T09:51:28.608259
2014,Week 10,8,Michigan State,7-1,2025-08-09T09:51:28.608331
2014,Week 10,9,Kansas State,6-1,2025-08-09T09:51:28.608404
2014,Week 10,10,Notre Dame,6-1,2025-08-09T09:51:28.608476
2014,Week 10,11,Georgia,6-1,2025-08-09T09:51:28.608553
2014,Week 10,12,Arizona,6-1,2025-08-09T09:51:28.608626
2014,Week 10,13,Baylor,6-1,2025-08-09T09:51:28.608699
2014,Week 10,14,Arizona State,6-1,2025-08-09T09:51:28.608771
2014,Week 10,15,Nebraska,7-1,2025-08-09T09:51:28.608845
2014,Week 10,16,Ohio State,6-1,2025-08-09T09:51:28.608917
2014,Week 10,17,Utah,6-1,2025-08-09T09:51:28.608989
2014,Week 10,18,Oklahoma,5-2,2025-08-09T09:51:28.609061
2014,Week 10,19,LSU,7-2,2025-08-09T09:51:28.609185
2014,Week 10,20,West Virginia,6-2,2025-08-09T09:51:28.609261
2014,Week 10,21,Clemson,6-2,2025-08-09T09:51:28.609346
2014,Week 10,22,UCLA,6-2,2025-08-09T09:51:28.609418
2014,Week 10,23,East Carolina,6-1,2025-08-09T09:51:28.609489
2014,Week 10,24,Duke,6-1,2025-08-09T09:51:28.609561
2014,Week 10,25,Louisville,6-2,2025-08-09T09:51:28.609667
